grupo,numero,titulo_ptbr,capa_url,logo_url
franquias,11,John Wick,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-011-john-wick.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-011-john-wick.webp
franquias,12,Matrix,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-012-matrix.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-012-matrix.webp
franquias,13,Duro de Matar,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-013-duro-de-matar.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-013-duro-de-matar.webp
franquias,14,Busca Implacável,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-014-busca-implacavel.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-014-busca-implacavel.webp
franquias,15,Bourne,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-015-bourne.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-015-bourne.webp
franquias,16,Ocean's,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-016-ocean-s.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-016-ocean-s.webp
franquias,17,Mad Max,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-017-mad-max.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-017-mad-max.webp
franquias,18,Rambo,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-018-rambo.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-018-rambo.webp
franquias,19,Os Mercenários,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-019-os-mercenarios.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-019-os-mercenarios.webp
franquias,20,Kingsman,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-020-kingsman.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-020-kingsman.webp
franquias,21,Os Vingadores,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-021-os-vingadores.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-021-os-vingadores.webp
franquias,22,Capitão América,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-022-capitao-america.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-022-capitao-america.webp
franquias,23,Homem de Ferro,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-023-homem-de-ferro.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-023-homem-de-ferro.webp
franquias,24,Thor,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-024-thor.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-024-thor.webp
franquias,25,Guardiões da Galáxia,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-025-guardioes-da-galaxia.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-025-guardioes-da-galaxia.webp
franquias,26,Doutor Estranho,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-026-doutor-estranho.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-026-doutor-estranho.webp
franquias,27,Pantera Negra,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-027-pantera-negra.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-027-pantera-negra.webp
franquias,28,Homem-Formiga,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-028-homem-formiga.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-028-homem-formiga.webp
franquias,29,Deadpool,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-029-deadpool.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-029-deadpool.webp
franquias,30,X-Men,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-030-x-men.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-030-x-men.webp
franquias,31,Mulher-Maravilha,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-031-mulher-maravilha.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-031-mulher-maravilha.webp
franquias,32,Aquaman,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-032-aquaman.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-032-aquaman.webp
franquias,33,Homem-Aranha,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-033-homem-aranha.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-033-homem-aranha.webp
franquias,34,Superman,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-034-superman.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-034-superman.webp
franquias,35,Batman,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-035-batman.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-035-batman.webp
franquias,36,Star Trek,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-036-star-trek.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-036-star-trek.webp
franquias,37,Alien,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-037-alien.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-037-alien.webp
franquias,38,O Exterminador do Futuro,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-038-o-exterminador-do-futuro.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-038-o-exterminador-do-futuro.webp
franquias,39,Predador,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-039-predador.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-039-predador.webp
franquias,40,Halloween,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-040-halloween.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-040-halloween.webp
franquias,41,A Hora do Pesadelo,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-041-a-hora-do-pesadelo.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-041-a-hora-do-pesadelo.webp
franquias,42,Jogos Mortais,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-042-jogos-mortais.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-042-jogos-mortais.webp
franquias,43,Pânico,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-043-panico.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-043-panico.webp
franquias,44,Invocação do Mal,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-044-invocacao-do-mal.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-044-invocacao-do-mal.webp
franquias,45,Todo Mundo em Pânico,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-045-todo-mundo-em-panico.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-045-todo-mundo-em-panico.webp
franquias,46,Planeta dos Macacos,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-046-planeta-dos-macacos.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-046-planeta-dos-macacos.webp
franquias,47,Transformers,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-capa-047-transformers.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/franquia-logo-047-transformers.webp
